epoch,lr,train_mse,train_mae,train_rmse,train_mape,train_r2,val_mse,val_mae,val_rmse,val_mape,val_r2,tiempo_epoca_s,its_por_s,muestras_por_s
1,0.0001,0.4297691833282546,0.5116741783050694,0.6555678327436869,190.52805165643588,0.5605171287308072,1.3051286191230453,1.0390644823206023,1.1424222595533777,69.69690850020227,-5.93054980881906,52.868850299999394,6.7336436858360065,215.23070646384247
2,0.0001,0.26638113097520566,0.4081252829132186,0.5161212367023912,193.42284228305363,0.7267881587327119,1.3984096322887796,1.084932107884264,1.1825437126333975,73.90514307937704,-6.406812380818487,7.618049200000314,46.731123763283826,1493.689486804513
3,0.0001,0.2159707886450466,0.36462489025319794,0.46472657406807133,167.39159911122428,0.7786283639552398,1.2035621609116836,0.9853181091841499,1.0970698067633087,68.26327286671923,-5.367708699988701,7.798211499999525,45.65149329433059,1459.1807365061454
4,0.0001,0.20029920731396234,0.35013996130794284,0.4475479944251369,161.31408865328822,0.7949161538550594,1.340589675831306,1.0478487458429675,1.1578383634304514,73.42782564790761,-6.0988895216677435,7.675576600000568,46.380880362782605,1482.4944877755709
5,0.0001,0.18851767526076038,0.33908690756669896,0.4341862218688663,156.68246074434805,0.8059055100154433,1.192185976487276,0.9710645837691224,1.091872692435925,68.25627005370303,-5.303181891045267,7.664805300000808,46.44605910602354,1484.5778274366344
6,0.0001,0.17924074941768264,0.3303512343178421,0.4233683377600203,151.6458303838908,0.8160387655272091,1.3240891076471684,1.035432963695341,1.1506907089427498,73.48536075563236,-6.005863158834019,7.54789879999953,47.165444242578104,1507.5718821244277
7,0.0001,0.17235685113638374,0.3236676989121097,0.4151588263982638,148.6192092580382,0.8227707772716318,1.2796426130601375,1.010185969043061,1.131212894666666,71.7919245764147,-5.763099233180831,7.87024670000028,45.233651951467714,1445.8250717858177
8,0.0001,0.16619181398196572,0.31765564926239065,0.407666302239915,145.2055400858781,0.829030752768677,1.220278087171536,0.975982828047669,1.104661978693725,69.79215602607275,-5.442725800902069,13.294412000001103,26.778168150646337,855.9235263657434
9,0.0001,0.16120583953432296,0.31251816589443215,0.40150447012993884,142.99690091432907,0.8344524261747998,1.3149344753936143,1.0275384143975432,1.1467059236759938,73.4724665768324,-5.948050945450701,16.38408619999973,21.728401306873366,694.5153889632361
10,5e-05,0.15601007763981578,0.3070122116253596,0.39498111048481266,140.57192344005105,0.8389491457461011,1.262888579178268,0.9951464539592706,1.1237831548738697,71.43504497277056,-5.6672282018322,15.677431299998716,22.707801628193334,725.8204346269999
11,5e-05,0.15369698317003372,0.30462295964644404,0.39204206811263725,139.29490539861885,0.841449873871078,1.2800967225236286,1.0050234838339631,1.1314135948112116,72.14527055232142,-5.757785778601193,15.57370280000032,22.859046725868733,730.6547547574728
12,5e-05,0.15137980179979865,0.30201252019722796,0.3890755733784873,138.05342386066206,0.8444278379799937,1.3355796365418995,1.0295292166058685,1.1556728068713478,74.06591321992514,-6.051120189144131,14.7781501999998,24.089618469299683,769.9881139386548
13,5e-05,0.1492613078549181,0.2999520886865229,0.38634351017574775,137.1454032484263,0.8463785664846046,1.336457336604788,1.030386110082542,1.1560524800392014,74.2180026320835,-6.056810691775885,15.3154341999998,23.244525447408122,742.9759973765647
