epoch,lr,train_mse,train_mae,train_rmse,train_mape,train_r2,val_mse,val_mae,val_rmse,val_mape,val_r2,tiempo_epoca_s,its_por_s,muestras_por_s
1,0.0001,0.1325666206043984,0.26426977260933254,0.3640969934020307,128.6169476758677,0.855790227004453,0.09735177320018532,0.2388762415238181,0.31201245680290607,15.220585916639342,-12.519705590305382,76.61508570000115,19.826382573634284,634.1440403818444
2,0.0001,0.08407146054567029,0.2158745076622727,0.28995078986902295,112.40496753768394,0.9074403508572934,0.22609540759875074,0.38085248686842677,0.47549490806816297,24.16721125030405,-32.293835075798334,32.06277070000033,47.37581833500074,1515.3088438485918
3,0.0001,0.0760575865762548,0.20468912942211753,0.2757853994979698,106.38706025620897,0.9163730558561938,0.25988609611029395,0.41269137658991256,0.5097902471706319,26.280331867606975,-36.887757529441245,35.104530599999634,43.27076801875869,1384.0093905144115
4,0.0001,0.06937338487824332,0.19544217131646238,0.26338827779201435,101.65370216758282,0.9228692384172004,0.32370306658317366,0.4567961843294856,0.5689490896232928,29.199638183760364,-47.6643531214475,36.62593199999901,41.47334735400156,1326.519144959951
5,0.0001,0.06276633016618667,0.18585639720506797,0.25053209408414456,96.94397229795975,0.9307768743004072,0.2854443872741881,0.4201602227166812,0.5342699573007901,27.09866875576308,-40.48470494682781,35.40120329999991,42.90814600643826,1372.4109767760388
6,5e-05,0.05573170088554368,0.17518443649868004,0.23607562535243592,91.60838903725681,0.9383953609007234,0.23929045357385076,0.37792330852771416,0.48917323472758684,24.34123675394361,-33.5121929933667,32.8385758000004,46.256573648360884,1479.5099609648544
7,5e-05,0.0520528775330733,0.16951327968388413,0.22815099722129925,88.43222319510808,0.9424053822290483,0.2877468313745329,0.4269322599741286,0.53642038679988,27.537821688236203,-41.13004116183874,30.93063439999969,49.10988828602931,1570.772825791135
8,5e-05,0.04908107120458992,0.16471564926224702,0.22154248171533586,86.29653292533558,0.9454289345531732,0.28076648012944794,0.41952966620863336,0.5298740228860516,27.235015753748424,-39.44436924531781,30.979291999999987,49.03275387959159,1568.3056927188659
9,5e-05,0.046280717235022126,0.15998852689214432,0.215129535942934,83.69437392288684,0.9488100043010035,0.29106662707051223,0.42239570703868123,0.5395059101349235,27.370761596085277,-41.01948342893932,31.032983000000968,48.94792099102921,1565.5923247854867
