epoch,lr,train_mse,train_mae,train_rmse,train_mape,train_r2,val_mse,val_mae,val_rmse,val_mape,val_r2,tiempo_epoca_s,its_por_s,muestras_por_s
1,0.0001,0.07949135797732024,0.19140346207242664,0.2819421181329959,91.47204510330711,0.9153036065469319,0.04926023685823049,0.1823704616899716,0.22194647295740136,11.64516841611613,-82811764986.83151,116.28565960000014,13.079858730921265,418.4264866998264
2,0.0001,0.03727025190753365,0.14033568004650726,0.19305504890453823,70.72277376575667,0.9586706190690685,0.06809248524715403,0.21828511803319706,0.26094536831902965,14.037294713506421,-105492045299.83803,58.59340060000068,25.95855479328473,830.4177518585503
3,0.0001,0.03311031794138641,0.13151517288965417,0.18196240804459146,66.12909599828066,0.9633824309440925,0.06601785533951485,0.20548032557708465,0.2569394001306823,13.087555406041034,-126755864624.25127,38.70838360000016,39.29381334331909,1257.014514034107
4,0.0001,0.030417959393900608,0.12575342015635818,0.1744074522315506,63.20628641375774,0.966536593049606,0.04785712091378669,0.1644489296332191,0.21876270457686953,10.52318606708742,-84935841000.85349,30.686175799999546,49.56629362724379,1585.6325766080217
5,0.0001,0.02819583808594889,0.12097943058022638,0.1679161638614606,60.978336502004005,0.968595814365081,0.09740447933538271,0.24352667410541823,0.312096906962217,15.536801850470265,-211782685090.78976,29.78404579999915,51.06760882029142,1633.6598569157918
6,0.0001,0.026037134983203345,0.11634659423018795,0.16136026457341765,58.39426211999936,0.9712084965236747,0.10139527919301501,0.24558485889281648,0.31842625393176205,15.592672429340288,-219160013267.34213,31.333667900000364,48.54203487616534,1552.8663977446265
7,0.0001,0.02422763492807853,0.11257756287215007,0.15565228854108934,56.403245723749535,0.9731667408236206,0.07458660197982059,0.20080779496988843,0.27310547775506183,12.823851874456352,-173660295325.90436,30.505013300000428,49.86065683832954,1595.0492963725185
8,0.0001,0.022404731438494127,0.10837087015119824,0.14968210126295706,54.200946108770644,0.9750325982451138,0.0959527478413976,0.23103975322859568,0.3097624054681226,14.775204568418173,-219369492079.8943,30.04572879999978,50.62283594864942,1619.4315113434811
9,5e-05,0.019731301748244466,0.10141361757387403,0.14046815207812932,50.70120635905733,0.9780823838233771,0.10623792566196956,0.2447777744679055,0.325941598544846,15.64797463864719,-219721555188.11484,30.18346609999935,50.391826934681724,1612.041501091919
10,5e-05,0.018729170869606297,0.09905190107973436,0.13685456101133894,49.45956715477707,0.9791086489715178,0.1064276655469346,0.24642992319895726,0.32623253293768023,15.758368901918189,-221331159919.17038,30.005030199999965,50.69150038715848,1621.6280962116832
11,5e-05,0.017801181429215655,0.09683233108125348,0.13342106816097543,48.40097815439151,0.9801606438610104,0.1137755565940333,0.2533239617732724,0.33730632456868237,16.155473480748164,-235849634517.215,34.424211300000024,44.18401882165995,1413.4528624625298
12,5e-05,0.016991060770613808,0.09474090116356652,0.1303497632165621,47.30777764394363,0.981097544753934,0.12127404257161267,0.26416489763022477,0.34824422833926866,16.943041759819025,-253128707046.18546,39.29304579999916,38.709139722633374,1238.3107241842024
