epoch,lr,train_mse,train_mae,train_rmse,train_mape,train_r2,val_mse,val_mae,val_rmse,val_mape,val_r2,tiempo_epoca_s,its_por_s,muestras_por_s
1,0.0001,0.3277372228973627,0.433335602641396,0.5724833822019314,181.33988274596464,0.6311328479682428,0.6457480442892645,0.7450507172194543,0.8035844972927642,47.379215919520846,-14.22713320623968,52.178346700000475,7.148559193424896,228.19810808608645
2,0.0001,0.17670060771307758,0.3246606102946464,0.42035771399259175,176.90017237574764,0.7993990183377172,1.2518689691405935,1.0504118483500793,1.1188695049649864,67.53737436930338,-29.25455351367439,6.869690499999706,54.29647813100401,1733.2658581926667
3,0.0001,0.15487933446898552,0.301277371050379,0.39354711848644697,165.87448586518153,0.8242806121925969,1.426768922478063,1.118325248043152,1.194474328932214,72.00832695715206,-33.54616106695326,8.86485150000044,42.07628294732083,1343.1697079188984
4,0.0001,0.1429929487320231,0.28872328716831364,0.37814408461857907,159.20997973514403,0.8381346438827508,1.8487926196396556,1.287535835787193,1.359703136585209,83.46486853111242,-44.77361362627691,10.736916399999245,34.73995569156394,1108.977620427485
5,0.0001,0.1363905120324686,0.2814029151980659,0.36931086097279703,154.2405708385393,0.8452769153773099,1.7829178816674092,1.26583288879329,1.3352594810250962,82.09594228423339,-43.19273321407358,11.600748900000326,32.15309659878851,1026.3992525516749
6,5e-05,0.13021821939152795,0.27447276707309076,0.3608576165075748,150.68000881559973,0.853391659317864,1.7806507533358544,1.2641820438129385,1.3344102642500373,81.97254891411956,-43.0939494024847,9.075554899998679,41.09941530958667,1311.9858930060282
7,5e-05,0.12736438584961438,0.27128424685618296,0.35688147311063145,148.89951566153292,0.8567950774012039,1.7480373105642313,1.2503517398309871,1.322133620540765,81.0402786202447,-42.25888628353368,8.791551199999958,42.4270975069794,1354.3684987013505
8,5e-05,0.12489900519432985,0.26846288985195677,0.35341053350788776,147.02859715885987,0.8575050776727836,1.7570655055881776,1.2555758796606686,1.3255434755556597,81.43353502725817,-42.57271733234838,8.832111199999417,42.232258126462966,1348.1487868948916
9,5e-05,0.1226591931962142,0.26592095745013306,0.3502273450149405,145.6267725222956,0.8600704297216871,1.8340386590597146,1.2848694978301058,1.3542668345122075,83.4176983548194,-44.612010344934625,9.940174800000023,37.52449101800495,1197.866258850898
