epoch,lr,train_mse,train_mae,train_rmse,train_mape,train_r2,val_mse,val_mae,val_rmse,val_mape,val_r2,tiempo_epoca_s,its_por_s,muestras_por_s
1,0.0001,0.396254872422466,0.4787607954145368,0.6294877857611425,190.61604456855875,0.520177869016691,0.8542916238500848,0.8671254275171759,0.924278975120653,56.16899924499446,-12.756743894554393,60.137944699999935,5.919723425466524,189.21497993927971
2,0.0001,0.21324779420648457,0.36213674980000227,0.4617876072465399,196.90110238803817,0.7390782126685586,0.7568006910295291,0.8162542575128384,0.8699429240068162,52.774399272832284,-11.143655369582685,9.476945300000807,37.56484697658534,1200.7033532206872
3,0.0001,0.19133925496725218,0.34127333517736264,0.4374234275473276,194.09362502382618,0.7622683383488406,0.7431117754023695,0.8091251229005338,0.8620393119819824,52.332691855157975,-10.92859791423382,8.47773799999959,41.99233333231308,1342.2212387314341
4,0.0001,0.17933986543488112,0.32925926580120235,0.42348537806502967,191.15993447793642,0.7791278545084795,0.6376888732051129,0.7406717063668219,0.7985542393633089,47.68363454298166,-9.223307813255532,8.334242899998571,42.715337706327354,1365.3309768547724
5,0.0001,0.1711613918421442,0.320767186882626,0.41371655978718597,188.07946204351344,0.7882124511740289,0.5977019569248829,0.7114751700958902,0.7731118657250599,45.6469120778698,-8.5833201171768,8.358771100000013,42.589992684450884,1361.3245133605803
6,0.0001,0.16479066383315888,0.3141631798057378,0.4059441634426573,185.4744873006646,0.793477018276117,0.7605639233172519,0.8179200731434868,0.8721031609375418,52.88149545416477,-11.255476168701435,8.443509400000039,42.16256335310035,1347.6623831318227
7,0.0001,0.16016605932611563,0.30933374995422214,0.400207520326787,182.78666569141294,0.8007971068155222,0.61495251312225,0.7235424737842852,0.7841890799560077,46.44305163139664,-8.827473332323818,9.911800799998673,35.91678315408111,1148.0254930064295
8,0.0001,0.1558073483422557,0.3048642372553876,0.39472439542325694,180.35067451464312,0.8045628625391782,0.6837319156884375,0.7656628295956049,0.8268808352407483,49.33735164160867,-10.138307455673958,12.00869319999947,29.64519070235017,947.563553376524
9,0.0001,0.15157072419063813,0.30031950679224734,0.3893208499305401,177.54354702042448,0.8119028403298257,0.6663183602700341,0.7514168344912276,0.8162832598246972,48.34779910979533,-9.84487534958182,7.718686700000035,46.121835726276906,1474.2145189025418
10,5e-05,0.14676297809010347,0.2952316792634179,0.3830965649677682,174.65971358286097,0.8142101931199006,0.7222042690717415,0.7880167584331804,0.8498260228256966,50.83691193910864,-10.76648419265994,7.340477500001725,48.49820737137554,1550.1716339294446
11,5e-05,0.1448669850967693,0.2932704534427134,0.3806139580950353,173.28597408971527,0.821316965535232,0.7174510683185203,0.781321379616294,0.8470248333540878,50.37127710648982,-10.742315488854402,7.455300100000386,47.75126356080308,1526.2967080291523
12,5e-05,0.14278700838546593,0.2910482270697297,0.37787168243395264,171.6549324111409,0.8228843245651697,0.7674233190707276,0.8108377921542689,0.8760270081856653,52.403539746067416,-11.642583138220004,7.633751299999858,46.63500106428757,1490.6170705351917
13,5e-05,0.14087418155989062,0.28899625092757925,0.37533209503037523,170.26007825115755,0.8233492667755267,0.7203869105285554,0.7824196059984168,0.8487560960184942,50.46609576080223,-10.847443888231131,7.602065200000652,46.8293799953162,1496.830098221076
