epoch,lr,train_mse,train_mae,train_rmse,train_mape,train_r2,val_mse,val_mae,val_rmse,val_mape,val_r2,tiempo_epoca_s,its_por_s,muestras_por_s
1,0.0005,0.6252847433188934,0.6217249220893497,0.7907494820225262,172.45671886246643,0.3654771282263177,2.323590981247832,1.4842237582268425,1.5243329627242967,97.70137368964326,-47.82488935638634,0.24112459999992097,199.0672042587763,50077.843571348414
2,0.0005,0.30482603559953086,0.433896831893526,0.5521105284266284,209.73484208322213,0.691832917472097,0.896002552131775,0.9065616254224795,0.9465741133856213,59.11627120407584,-17.53646542213614,0.2401538999999957,199.87183218761328,50280.25778469646
3,0.0005,0.18377562155511315,0.33299970472327917,0.4286905895341221,167.75662517792443,0.8134388545778721,0.35504964812993267,0.553586723660512,0.5958604267191543,35.78260036522565,-6.185224145265251,0.24377399999980298,196.90368948304084,49533.58438557746
4,0.0005,0.12951307964189204,0.2756209462004912,0.3598792570319829,145.42514243179227,0.8682551735479146,0.08946422496219512,0.2436305849605773,0.2991057086753697,15.409086139277036,-0.6627365358802763,0.23949629999992794,200.4206328031558,50418.31543954388
5,0.0005,0.11510739106692636,0.2570280167960232,0.33927480169757135,138.59172751416824,0.8832239203077913,0.08462270254238255,0.23436927609030875,0.29089981530138953,14.8028101001488,-0.5674701480313135,0.23502149999990252,204.23663366977024,51378.27815755158
6,0.0005,0.1106941286186007,0.25095998882013326,0.3327072716647484,137.18084741564763,0.8875027670179094,0.08486380174443887,0.2343686867278076,0.2913139230185177,14.794957049893362,-0.5844803291269092,0.24749099999985447,193.9464465375639,48789.652957105915
7,0.0005,0.1069521745730878,0.24628331849170274,0.32703543320730216,133.70982667026558,0.8913629197778169,0.07158442219869633,0.2117265720225673,0.267552653133353,13.320253245858447,-0.31722030768920373,0.23178290000009838,207.09034186723707,52096.16412597683
8,0.0005,0.10448170768486541,0.24251446970377896,0.3232363031666855,132.3961354750481,0.8939211196336687,0.06404346664673152,0.19691252287934022,0.2530681067355812,12.38729405711627,-0.16515802705427488,0.19715879999989738,243.45857248078698,61245.04713969797
9,0.0005,0.10261257125909284,0.23982427659612265,0.32033197039804323,132.00719522859245,0.8959637204657924,0.056421959769263064,0.18338610766224853,0.2375330708959556,11.574974114705366,-0.017589928555914597,0.2317964999999731,207.07819143086962,52093.107531828144
10,0.0005,0.10126787457715404,0.23821952506128552,0.31822613748269335,131.6164173999731,0.8965465612885375,0.06941754122345593,0.20881823529744692,0.26347208812975986,13.089853474775069,-0.27756057311485227,0.30142610000007153,159.2430118028552,40059.57015665576
11,0.0005,0.10009492404959464,0.2362585618764964,0.3163778185170298,130.76328563240003,0.8983416463622889,0.07143280386135156,0.20910139942859618,0.26726915995182005,13.084661976760799,-0.321941923816044,0.23378010000010363,205.32115436676912,51651.10289539036
12,0.0005,0.09890067068562991,0.23492861562263892,0.31448477019663434,130.0876753655033,0.8994746565275804,0.08672206393470018,0.23492763210283116,0.2944861014287435,14.68551064771557,-0.6345550792127646,0.24737170000003061,194.03998112958783,48813.18275291193
13,0.0005,0.09806067188210615,0.2333997824312984,0.31314640646526054,129.2694361981694,0.9001452079273405,0.06507048246325053,0.19839358159001785,0.25508916571122836,12.402947502230246,-0.19433518669448072,0.24340490000008685,197.20227489250576,49608.69727764597
14,0.0005,0.09755718607401502,0.23278925330002115,0.3123414575012658,129.1874315155219,0.900559037486959,0.08194846265105209,0.22965023408168198,0.2862664190069315,14.306131793038022,-0.5367143193807267,0.23552769999992051,203.7976849432835,51267.855118544765
15,0.00025,0.09675613446080167,0.2318610715187361,0.3110564811425759,129.9239729008961,0.9018081357316201,0.08690460086401347,0.2373485710800098,0.29479586303748134,14.774785856809869,-0.6428936466492038,0.22486770000000433,213.45884713544487,53698.24123251035
16,0.00025,0.09626186922902152,0.23113450776963007,0.31026096955469845,128.60134780473098,0.9023892096061391,0.09995000421982522,0.2570330416135265,0.31614870586454286,16.03034670060605,-0.915844010631023,0.20843630000013036,230.28618335659374,57931.36800064311
17,0.00025,0.0963579691030224,0.23100467715574347,0.31041580034370414,129.08729251206046,0.9024216598408069,0.09490836544842611,0.2494283409781171,0.30807201341314033,15.532344621856934,-0.8096486809660606,0.21958769999992,218.59147848453026,54989.41880626464
18,0.00025,0.0956987429541337,0.23002462363638,0.3093521342323885,128.59210955064984,0.9029126655932045,0.10116735895382939,0.2583913915295404,0.3180681671494798,16.104846714605024,-0.9431947028277028,0.22266130000002704,215.57405799747946,54230.348964990924
19,0.00025,0.09562278978511167,0.2298858903616852,0.3092293481950115,128.288107637204,0.9026959765821263,0.08679570333409001,0.23550335569875297,0.29461110524569506,14.641923544807927,-0.639113128589247,0.21971640000015213,218.4634374128047,54957.20847415869
20,0.000125,0.09536979243251847,0.22989707307785934,0.30882000005264953,129.14172985132188,0.9028382178419125,0.08849297120056253,0.23992993313077784,0.2974776818528787,14.910728821252057,-0.6739686835495249,0.22203829999989466,216.17892048364075,54382.50968416588
21,0.000125,0.09529219562469309,0.2295793135430255,0.3086943401241641,128.77006132959085,0.9031596586324167,0.09164998405374866,0.24456652376435822,0.3027374837276492,15.202493038870857,-0.7412915485403234,0.21069390000002386,227.8186506585837,57310.629306299954
22,0.000125,0.094986312687397,0.22920897602541354,0.30819849559560963,128.3701210960246,0.9035432176214815,0.09802563865373551,0.2541326274676449,0.31309046400958224,15.812058019256122,-0.8727431855521963,0.21488909999993666,223.37103184858677,56191.77519941011
23,0.000125,0.09502305912120002,0.2289721463728642,0.30825810471291754,127.745405450351,0.9037253735771337,0.08725291991850806,0.2366028216909055,0.29538605234253706,14.692587049229235,-0.6453321460434778,0.21530980000011368,222.93458077604762,56081.98047647448
24,0.000125,0.09491981369614848,0.22913818631976782,0.30809059332629496,128.49270715559493,0.903384566578559,0.09730709858757437,0.2534181400904006,0.31194085751561046,15.757228664461653,-0.8574888090696587,0.2106883999999809,227.824597842142,57312.125394663846
