epoch,lr,train_mse,train_mae,train_rmse,train_mape,train_r2,val_mse,val_mae,val_rmse,val_mape,val_r2,tiempo_epoca_s,its_por_s,muestras_por_s
1,0.0001,0.2729001676388055,0.4048715484289945,0.5223984759154696,182.21596186583733,0.7168013565966983,0.5732593523396257,0.6422102114988811,0.7571389253892747,45.574850106266446,-4.213202863519955,61.05441260000043,24.551869982285105,785.5451876053207
2,0.0001,0.18040873925491413,0.33201960573969713,0.42474549939335926,159.24280568982246,0.8121148418195576,0.6704949212814373,0.6681107202816955,0.8188375426673091,47.35206337415279,-5.217356449798628,24.332635099999607,61.604507437832915,1971.0565585229515
3,0.0001,0.15811202898601365,0.3092694836069129,0.3976330330669393,148.71338692840064,0.8354833067744769,0.8518593291160674,0.7443507328162092,0.9229622576877493,52.30935282205811,-7.09150243437079,23.976075200000196,62.52065809336416,2000.3691012780778
4,0.0001,0.14264463957056825,0.29214818671975484,0.3776832529654555,140.47414552861952,0.8516336794589127,1.0903126838903552,0.8622901726985741,1.0441803885777377,61.04569472473035,-9.395998872781448,24.54866669999865,61.06237940816894,1953.710993192255
5,0.0001,0.1323296885393506,0.2805576660334772,0.3637714784577683,134.82355683444575,0.8619384107576598,1.2480049185998534,0.9453905793335231,1.1171414049259178,67.58985959776393,-10.788448657366429,24.232802399999855,61.858301621772355,1979.1767872460466
6,5e-05,0.12268218626111987,0.26937908975632774,0.350260169390012,129.29326664142033,0.8728130488978204,1.3224755164260653,0.9744452150317879,1.1499893549185858,70.46864175881755,-11.546625889667007,23.441450400001486,63.94655511588587,2045.991147373584
7,5e-05,0.11819037293887477,0.26428104788969076,0.3437882675992227,126.44237543778449,0.8769950844627566,1.3390253531376792,0.9828598413664249,1.1571626303755576,71.54670149916151,-11.697235635019368,23.324842399999397,64.26624344523069,2056.219681038498
8,5e-05,0.1140550106292518,0.25936384293611553,0.33772031420874254,123.92100693800191,0.8813246096575649,1.3934210796346902,1.0047921456884568,1.1804325815711332,73.56017292679257,-12.209363240217671,22.804828300000736,65.73169419565205,2103.107261719592
9,5e-05,0.10973526879522755,0.2542601391284411,0.33126314131703144,121.3322924565057,0.8857484024073741,1.3560794597522197,0.9954337887544661,1.1645082480395832,72.62032808638308,-11.777718585389582,22.80671439999969,65.72625822858642,2102.9333361582608
