epoch,lr,train_mse,train_mae,train_rmse,train_mape,train_r2,val_mse,val_mae,val_rmse,val_mape,val_r2,tiempo_epoca_s,its_por_s,muestras_por_s
1,0.0001,0.12840310571449012,0.2536032446668049,0.3583337909191514,113.63572267232675,0.864432235422786,0.15180237447604156,0.3113689633516165,0.38961824197031836,25.736672445723425,-7162003963521.192,61.82134959999894,24.586975370722513,786.6699823712815
2,0.0001,0.06820298713693725,0.18714854684218568,0.26115701625064036,89.731893103507,0.9274369640862937,0.09540274140380678,0.22616160825495318,0.3088733420089969,21.685527684417835,-5369027348770.434,26.560822800000096,57.227142827819115,1831.0050244377153
3,0.0001,0.05949311516095122,0.17283862099700126,0.24391210540059552,82.88904468904332,0.9368402620373537,0.10410999353006209,0.23165279856968277,0.3226608025931599,21.664459843897557,-4275014144420.562,25.636580800000957,59.290277898523165,1897.0158454203138
4,0.0001,0.05409850431611727,0.16400276974431557,0.23259085174640312,78.2472856756255,0.9424655610217918,0.1571762253797098,0.2880703421739432,0.39645456912452126,23.839060488969853,-5411350711672.235,26.3999287000006,57.57591307433968,1842.1640661476065
5,0.0001,0.049706298573741134,0.1567813660004607,0.22294909413079286,74.61860122595951,0.9470883145420678,0.1388586342094582,0.27501479960623243,0.3726374031273004,23.79738666995541,-3772913844197.6,25.3313263,60.00475387662588,1919.8757863697015
6,0.0001,0.04610135948438546,0.15083527722951748,0.21471227138751398,71.26885202006349,0.9510691043817462,0.12175257210548107,0.25023318794184113,0.3489306121644833,23.821590891408395,-2035438442859.0408,23.975444900001094,63.39819787869424,2028.450366733248
7,5e-05,0.04129162608406424,0.14215683637137594,0.20320341061129915,66.80567642157635,0.9560867247863762,0.18402092715759416,0.3033113359313308,0.42897660444084146,26.562948408301498,-2627264621690.596,23.608311300000423,64.38410527058633,2059.9948629108058
8,5e-05,0.03963464679843709,0.13943042778603337,0.1990845217450043,64.88457416834608,0.9579383071613172,0.15792328482800788,0.28577729764875476,0.39739562759045033,26.305641436734042,-1847270266848.8767,23.59952499999963,64.40807601000544,2060.7618161806545
9,5e-05,0.037778259787649614,0.13648640067644574,0.19436630311772052,63.24599906176692,0.9598872365179018,0.16581142110265654,0.28555094193626235,0.40719948563653235,25.872852664151033,-1603018234827.3564,23.550112500000978,64.5432160886678,2065.085676342225
10,5e-05,0.03608593219830332,0.13374563282869997,0.18996297586188557,62.01101954477028,0.9617060300729449,0.20701213635804452,0.3198784715919704,0.4549858639101269,27.123743181892365,-2094973956033.015,24.877682300000743,61.09893926895089,1954.884679912427
