epoch,lr,train_mse,train_mae,train_rmse,train_mape,train_r2,val_mse,val_mae,val_rmse,val_mape,val_r2,tiempo_epoca_s,its_por_s,muestras_por_s
1,0.0001,0.3817731415542384,0.4827263247097247,0.6178779341862262,187.48898934705883,0.6110735829413814,1.25966421344824,1.0324593914273492,1.1223476348477062,70.15692334789797,-6.29307204434928,74.17409199999929,4.961301042957203,158.5863700225695
2,0.0001,0.23388420409702437,0.382527020708655,0.4836157608029585,176.0348586056758,0.7600889889437721,1.2145477546979961,1.0229240833212636,1.1020652225245093,70.5350796534395,-5.975780908975958,16.171919099999286,22.755493502315147,727.3719295318834
3,0.0001,0.19816088092719314,0.35039060540743694,0.4451526490173827,157.76495735306608,0.7960677550305804,1.2847360266155181,1.0478776156856848,1.1334619652266757,73.48524706714667,-6.34750981916461,16.389535800000886,22.453350997285728,717.7140428833478
4,0.0001,0.18570564056521094,0.33861053550890957,0.4309357731323903,153.0495434746211,0.8090265939747062,1.216914737615578,1.0066695842553786,1.1031385849545732,71.2404561337399,-5.945955468533514,16.51380959999915,22.284379492907497,712.3129238453014
5,0.0001,0.17419793122172264,0.3270493571975954,0.4173702567525897,148.51933801092076,0.8211316712999348,1.3179245069679826,1.0500277137138023,1.1480089315715198,74.75684825161048,-6.523083953799227,10.67052369999874,34.487529417140365,1102.3826318853862
6,0.0001,0.16529520993420008,0.3179489988879587,0.4065651361518841,144.8006116663894,0.8301579008689799,1.3314172499603574,1.0528664565286412,1.1538705516479557,75.47370720346132,-6.601609024175881,8.937027599999055,41.17700162412376,1316.2094296319779
7,5e-05,0.15735608586458935,0.30953932668870277,0.396681340454261,141.19168803104685,0.8383915698326618,1.3542016439997995,1.0598849529168881,1.1637016988901405,76.07589992869455,-6.726280259685967,8.92895690000114,41.21422066668874,1317.399124190923
8,5e-05,0.1540074684223046,0.30584942272991833,0.39243785294273614,139.46222018133486,0.8420139572647349,1.3767458472335548,1.065970231611978,1.1733481355648692,76.67449056711204,-6.846912321473332,8.426518399999622,43.6716544759478,1395.950194566777
9,5e-05,0.1503510266215605,0.30171663626809314,0.3877512432237458,137.6211688284828,0.8454390672825434,1.474704625131882,1.1088725246608393,1.2143741701518038,80.01223199118375,-7.40568534915089,8.179638499999783,44.9897633006654,1438.0831133307802
10,5e-05,0.14698777799601054,0.2980115673812202,0.3833898511906784,135.9452130642714,0.8488714140886191,1.4960784246501442,1.1172901835721654,1.2231428471973926,80.65342711238439,-7.528377268898132,7.851050399998712,46.8727089053027,1498.27085557901
