epoch,lr,train_mse,train_mae,train_rmse,train_mape,train_r2,val_mse,val_mae,val_rmse,val_mape,val_r2,tiempo_epoca_s,its_por_s,muestras_por_s
1,0.0001,0.3404295642917318,0.43577260264154094,0.5834634215541981,194.37812045673869,0.6165737003571908,0.4477188043881699,0.6070052092990104,0.6691179301051272,38.45095082624189,-7.031807024000621,65.79024219999883,5.5935346594605875,178.79551141096437
2,0.0001,0.18998655432606093,0.33926477055155196,0.4358744708354241,190.66624165432577,0.7823326422285893,0.39962973815625535,0.5660285892875753,0.6321627465742151,35.69013092774276,-6.078982878422392,12.27416280000034,29.98167826159107,958.3545689975429
3,0.0001,0.172334602730803,0.3215464688853363,0.415132030480428,180.39416600546545,0.8022470609586194,0.426883338017831,0.5871381556414903,0.6533630981451516,37.13068107936693,-6.6345146420709415,8.494604899999104,43.32161464037472,1384.7612853661083
4,0.0001,0.16105400736382813,0.30961428354014087,0.401315346534154,174.238183457805,0.8143570030575695,0.5384351876198472,0.6736398320630886,0.7337814304136124,42.99959033759471,-8.87993023506473,8.175573300000906,45.01213388912545,1438.7981818961487
5,0.0001,0.15324441209710354,0.3013806990759111,0.39146444550827797,169.79013794303336,0.8236464470318362,0.6638674122245143,0.7560952568126943,0.8147805914628271,48.60296230476199,-11.42536493297027,8.44078459999946,43.59784278821942,1393.590828037568
6,0.0001,0.14677051349322853,0.294640620065609,0.383106399702783,165.0936986742747,0.8320457669764992,0.711261562951915,0.7825884879044591,0.8433632449614549,50.39338307267923,-12.384216635214473,11.85593229999904,31.039313542641416,992.1615358752472
7,5e-05,0.14018924281597744,0.28771523185898373,0.3744185396264152,161.55017600156393,0.8384173242532811,0.7564335766864314,0.8054379208409813,0.8697318993152036,51.97620358674423,-13.33812059217696,8.657188199998927,42.508028184029264,1358.7552595889572
8,5e-05,0.13690536440465154,0.2842506634801928,0.3700072491244618,159.1334677432494,0.8427688388367205,0.8282632957788754,0.8435976725330251,0.9100897185326705,54.57739503396367,-14.789535221300627,7.4322162000007665,49.51416779290705,1582.7042275759936
9,5e-05,0.13387069001909138,0.2810497281541328,0.3658834377490889,156.8134684051511,0.8455517178316319,0.8488933832749076,0.8473994512761667,0.9213541030868141,54.870430231276224,-15.216616712754961,8.382148200000302,43.902826724059445,1403.339540095411
10,5e-05,0.13089170757768856,0.2778860976666017,0.3617895902008356,154.54826442929624,0.8506477449982687,0.9028772594908737,0.8743723749114211,0.9501985368810424,56.72506982147193,-16.30750078103817,10.676661599998624,34.46770290069392,1101.748883752344
