epoch,lr,train_mse,train_mae,train_rmse,train_mape,train_r2,val_mse,val_mae,val_rmse,val_mape,val_r2,tiempo_epoca_s,its_por_s,muestras_por_s
1,0.0001,0.24028795438023978,0.3688470971110575,0.49019175266444437,176.05499939160825,0.7358459629489255,0.39923393922996736,0.5331445323361161,0.6318496175752324,33.071120720461444,-7.878819834676464,64.0424325999993,23.406356366294812,748.894101190037
2,0.0001,0.16856159732214557,0.3131506016727623,0.4105625376506551,160.48389073109792,0.8127711964733286,0.5086777031605716,0.6054194719446939,0.7132164490255196,37.715543071487055,-10.50756559398297,25.782993099999658,58.1390994515691,1860.179685654907
3,0.0001,0.14690093195574966,0.29197783987806125,0.3832765737111383,148.41243681125502,0.8365263266240394,0.5924771358070579,0.6605050856943501,0.7697253638844558,41.46706970924094,-12.733609944577141,25.772269200000665,58.16329126346241,1860.953710665057
4,0.0001,0.13252766057685816,0.27741006789114797,0.3640434872056609,140.55807080885972,0.8529128920323322,0.6128165785053116,0.6761363689906806,0.782826020585233,42.6529867692089,-13.378902344786596,23.179923099998632,64.66803162086799,2069.075026396564
5,0.0001,0.12266140844915958,0.2668104843770102,0.3502305075934414,135.00841711865974,0.8635593445902906,0.6018857402024996,0.6733819440615074,0.7758129543920362,42.512378864359626,-13.119705730272699,23.065794399999504,64.98800665629935,2079.3127333173934
6,5e-05,0.1144814988940495,0.2572349789681425,0.3383511473219051,130.19588104729726,0.8723130574844982,0.5555768297800838,0.6344198945400561,0.7453702635469729,39.79162597160271,-11.776920218787774,22.601525000000038,66.32295829595559,2122.0249518561213
7,5e-05,0.11053638374855658,0.25247682101811886,0.33247012459551395,127.71443212872681,0.8768455709270405,0.5992136217221465,0.6664852448910906,0.7740888978161014,41.994436160192514,-12.953029600949709,23.288210999999137,64.36733160825688,2059.4540301958696
8,5e-05,0.10675404041176609,0.24794931766561124,0.3267323681727387,125.63544246226344,0.8814683301713632,0.5675736254412005,0.6421658250349005,0.7533748240027672,40.31667528504301,-12.084544542183357,22.83082580000155,65.6568454041596,2100.712449919212
9,5e-05,0.10310299876200486,0.24365394586732445,0.3210965567582513,123.46951697423061,0.8855993126635282,0.594879086184614,0.6630835082692556,0.771284050259445,41.75444432628575,-12.790202853932684,23.886957900000198,62.75390973917142,2007.8320647100736
